Under_6_years_With_health_insurance_coverage,Under_6_years_No_health_insurance_coverage,6_to_18_years_With_health_insurance_coverage,6_to_18_years_No_health_insurance_coverage,19_to_25_years_With_health_insurance_coverage,19_to_25_years_No_health_insurance_coverage,26_to_34_years_With_health_insurance_coverage,26_to_34_years_No_health_insurance_coverage,35_to_44_years_With_health_insurance_coverage,35_to_44_years_No_health_insurance_coverage,45_to_54_years_With_health_insurance_coverage,45_to_54_years_No_health_insurance_coverage,55_to_64_years_With_health_insurance_coverage,55_to_64_years_No_health_insurance_coverage,65_to_74_years_With_health_insurance_coverage,65_to_74_years_No_health_insurance_coverage,75_years_and_over_With_health_insurance_coverage,75_years_and_over_No_health_insurance_coverage,stateId
5489,1180,17613,1943,10646,1348,10564,1124,10774,1021,10433,1229,9811,875,4315,0,5469,0,CA-33
15751,159,31847,1388,16749,1421,20545,1824,21575,1850,19265,2209,16727,577,9063,0,5371,0,CA-15
22131,1047,55770,2368,27483,5177,29019,8677,28591,10086,25628,5549,17810,3847,8753,438,4982,0,CA-47
2618,686,4482,810,1644,779,1782,536,1450,1257,918,755,1997,724,696,0,188,47,TN-08
4389,394,9548,977,2258,1900,2298,2405,3003,3299,2704,1212,574,182,476,0,732,0,TN-06
61892,12785,112980,30793,30178,35422,38424,47729,40622,42160,35228,33857,30580,21643,27316,2321,11731,1013,TX-29
31726,5262,76990,14371,24436,17168,35340,17339,33682,20293,31807,10827,28346,9676,27107,324,16546,365,TX-27
17243,3990,37284,10199,13513,7766,11143,14150,17308,11643,14439,6527,11776,4766,7385,100,3438,502,TX-14
19953,5305,46069,15510,13505,12538,14444,14913,14050,13679,15664,11663,8499,5380,7155,634,4302,0,TX-05
27776,3132,57322,15592,17215,10625,25121,13746,28860,15667,24135,10962,14772,3284,9815,270,4033,0,TX-10
40511,4549,91796,20883,38415,20907,48272,27545,48937,24602,37017,21859,33551,9964,27652,388,17196,265,TX-35
24267,1980,53387,7022,18317,8984,22571,9531,32316,9124,21756,9641,13158,6404,11792,729,4328,276,TX-22
20543,4049,55787,10115,21712,9225,21071,12305,23049,11516,18865,6648,17979,5823,14010,81,7909,0,TX-19
8796,759,18897,4793,9517,2987,7393,3406,5695,3029,6644,2555,4334,1339,2851,242,1675,100,UT-03
13642,2072,24616,7672,10253,4590,14074,4077,10296,6082,7080,4721,5828,1843,3528,890,2097,58,UT-02
5295,399,11990,697,3945,1697,5039,2849,4904,2589,2420,676,1947,697,1196,335,301,0,VA-03
5245,817,7518,2876,3538,1866,3912,2727,1569,3523,3825,1645,2816,683,1321,0,624,0,VA-04
6257,118,11244,742,4324,955,5660,1692,6689,758,3910,970,3197,888,1684,0,1164,80,VA-02
3920,210,9860,925,6381,854,4185,2294,2319,3414,2862,1077,2542,199,728,183,179,0,VA-06
8114,147,18526,762,5486,3281,8441,2414,8164,3228,7434,1285,4301,1052,2167,0,1164,0,WA-01
