Under6Years_WithHealthInsuranceCoverage,Under6Years_NoHealthInsuranceCoverage,6To18Years_WithHealthInsuranceCoverage,6To18Years_NoHealthInsuranceCoverage,19To25Years_WithHealthInsuranceCoverage,19To25Years_NoHealthInsuranceCoverage,26To34Years_WithHealthInsuranceCoverage,26To34Years_NoHealthInsuranceCoverage,35To44Years_WithHealthInsuranceCoverage,35To44Years_NoHealthInsuranceCoverage,45To54Years_WithHealthInsuranceCoverage,45To54Years_NoHealthInsuranceCoverage,55To64Years_WithHealthInsuranceCoverage,55To64Years_NoHealthInsuranceCoverage,65To74Years_WithHealthInsuranceCoverage,65To74Years_NoHealthInsuranceCoverage,75YearsAndOver_WithHealthInsuranceCoverage,75YearsAndOver_NoHealthInsuranceCoverage,stateId
1634,0,6117,219,3538,222,4558,181,7311,710,6932,390,6653,603,4660,174,3956,0,CA-26
11232,51,30577,183,19293,1139,29352,1331,31950,1105,32777,1442,28451,1520,22393,346,14855,96,CA-19
1379,0,5362,45,9086,381,3101,20,3794,235,4092,240,3852,54,3322,116,1514,0,CA-24
7127,91,17680,803,9277,919,18934,1480,14237,2021,11704,1087,12720,671,11101,42,8152,85,CA-06
5780,156,13570,530,7886,895,15644,571,15889,1916,15853,708,14876,820,10963,0,6900,35,CA-11
425,0,2174,71,958,121,1435,0,2445,0,1787,303,3747,143,1820,70,1199,0,CA-08
4306,0,9227,606,6042,1684,14501,1426,15787,1971,12364,1525,13304,1757,10523,76,9053,0,CA-28
7422,0,18861,189,21012,998,47064,4154,36071,1670,31622,914,31994,1078,25942,912,24409,0,CA-12
2332,0,7006,539,3457,112,4396,290,7491,646,7080,219,4741,346,3409,117,2436,0,CA-04
3216,81,6836,496,5213,881,7783,1044,5705,486,5198,513,6477,345,4415,38,3731,0,CA-41
30015,51,58091,534,27268,1714,88583,3304,73316,1042,61723,549,45791,1420,24469,390,20131,577,CA-17
5484,0,12620,242,7435,579,14163,688,14229,1236,12498,726,16327,767,16239,100,9484,44,CA-38
1191,0,2184,64,2359,129,2096,121,2376,264,3371,232,2638,133,1717,0,1473,0,CO-05
1769,0,3448,273,2431,630,5056,524,3966,545,3503,153,2981,268,1942,140,714,0,CO-07
3132,0,4600,235,3183,54,5253,136,6251,165,4533,262,3465,309,2814,357,1776,0,DE-00
3070,0,5871,0,2756,306,7985,323,7129,248,5192,42,3020,287,2014,0,868,0,CT-01
1914,0,6111,106,1501,132,3501,203,4888,0,4673,133,3393,0,2155,0,1005,46,CT-05
1928,0,4747,0,2933,63,5089,565,6599,883,4164,724,3004,1026,3274,0,1198,69,FL-14
682,49,2259,51,1122,305,2264,361,1679,294,3752,53,1597,257,1973,1024,887,525,FL-16
1439,0,3826,289,2375,571,2820,613,4098,167,3645,85,1679,613,1965,0,1428,0,FL-15
933,146,3713,610,1032,282,2008,831,4493,878,3259,404,2791,177,1837,0,1032,260,FL-12
484,0,3270,0,1475,0,822,177,1516,46,3076,152,1575,169,1180,0,595,0,FL-02
1590,0,2281,113,1331,63,2392,795,3078,318,2547,510,2722,546,1545,191,1453,0,FL-21
1523,0,2370,0,2465,103,4249,0,1565,327,2861,806,2207,258,1458,0,1267,0,GA-13
,,,,,,,,,,,,,,,,,,GA-02
,,,,,,,,,,,,,,,,,,GA-14
